(2020-01-28 18:38:55.060697) | Strategy init with wallet: BNBUSDT
(2020-01-28 18:38:58.568614) | Neuron 1 in layer: 1 has weights and bias[0.26890991770953965, 0.692045506384182, 0.48725300292379037, 0.75529369944715, 0.08186971261347098, 0.09053995715148333, 0.9398374556534017, 0.3151630497889709, 0.3467063033622081, 0.5088550431384721, 0.25668979807727743, 0.7671928563932224, 0.4606475048777511, 0.024319774777037395, 0.7351373228957602, 0.2528105348557981, 0.8319879517016454, 0.2368037667845191, 0.9313563060212116, 0.5421858868838487, 0.4204156811398869, 0.11667738139481387, 0.8495527111958615, 0.6149525681885791, 0.40568531082664006, 0.8397384846917579, 0.9504380033204977, 0.2149168138550136, 0.5117583434952633, 0.3040000791251576, 0.5526766438498325, 0.5107865688589971, 0.11670265686591752, 0.45216603984651116, 0.7400187254988869, 0.9953738225093209, 0.2661236563167495, 0.5985435009253908, 0.19148144525513489, 0.45998143882068676, 0.6814382384502712, 0.0016352262411803986, 0.2851841306034254, 0.4983650953534179, 0.31517664852272986, 0.38355261914017635, 0.13621756894979287, 0.9990846078587561, 0.5536322123852229, 0.11213620933610147, 0.8315962589933522, 0.09442352167353296, 0.7741476109056017, 0.4193439414429805, 0.6601686793124732, 0.9304927307050499, 0.14825410946444528, 0.103947488850762, 0.8623006567352178, 0.3596524293725962, 0.7673700299993388, 0.0675356954131845, 0.6438717733914904, 0.6973336435515288, 0.5362864791317922, 0.44815328992491554, 0.6730436770975009, 0.48463159859326777, 0.5537855699928238, 0.6459516087786974, 0.9085248410458645, 0.728239794716604, 0.1730437112058285, 0.3211085941060092, 0.5156674529064551, 0.8656469271556327, 0.8862287870039465, 0.31823111621574485, 0.15016672645057383, 0.04957270660462143, 0.19952481407694556, 0.9104275935517101, 0.5515143068353071, 0.48205282393730475, 0.3027077800401199, 0.1783913917290073, 0.99635298354645, 0.22988124069712446, 0.4420083835401728, 0.5010267709224202, 0.9869318549061024, 0.38236854893600536, 0.8876017300668945, 0.32822429148130283, 0.9956098330228957, 0.3116189031256015, 0.652131349678853, 0.8576213452087841, 0.7154470526218677, 0.7681045410967569, 0.9907609519969748, 0.7837123903466968, 0.7714035167009359, 0.8625958741235635, 0.09950242750564575, 0.8631212083718549, 0.20962243644202083, 0.6248152020886178, 0.6043051060413582, 0.7735769950752625, 0.6476845710504963, 0.8837362164555889, 0.9621199159930818, 0.9157995441186189, 0.5171198984451538, 0.7892933817038407, 0.5610348991902503, 0.10536361168443864, 0.43010640791869126, 0.7466688168495467, 0.4087047697875985, 0.2235077630410952, 0.11167363821099574, 0.9253314010870239, 0.5643322402372399, 0.8948764233658938, 0.8195355846702105, 0.63090044497904] bias: 0.0
(2020-01-28 18:38:58.584230) | Neuron 2 in layer: 1 has weights and bias[0.728675578128091, 0.6924541367604211, 0.7110058821286649, 0.4844427290460033, 0.3538997765979116, 0.7019443681607478, 0.6580313618443108, 0.5492388298636237, 0.8083731096650226, 0.3884150179474506, 0.7975039884816539, 0.9512302062418772, 0.003363412437274116, 0.5741290006525467, 0.278066868054221, 0.8966598771052212, 0.7595043193166832, 0.226904334949235, 0.6658661964415632, 0.13274393172375132, 0.14203856892750077, 0.9441587801859137, 0.1198978222885626, 0.8760857223511115, 0.8054574473699702, 0.9533312459676724, 0.708074038086105, 0.8266273730099146, 0.16368074215312067, 0.5077939488993287, 0.7240160793134632, 0.3526489326915839, 0.5596905830580494, 0.9373662171259078, 0.3411036532567253, 0.284208036159189, 0.35494573562710063, 0.24277162360209137, 0.06431653227741285, 0.5242013513838732, 0.2274269170585982, 0.3246183984702993, 0.2910057079652173, 0.9520722477822363, 0.35992746278100374, 0.21362445904056038, 0.09352728034654834, 0.9125865682812484, 0.1687106142928987, 0.6795427213241968, 0.5010261290498412, 0.3624463552771322, 0.5988360235831242, 0.5045522866072631, 0.26149775889467874, 0.9722264710528334, 0.12340721589500114, 0.7872190871275686, 0.873541598334346, 0.4092594058996697, 0.059326309474968086, 0.4906455989341709, 0.009800552117440908, 0.474370389198671, 0.9125793654616804, 0.4446300888884025, 0.7796797386239886, 0.2348335739407551, 0.554131207444287, 5.452016853957353e-05, 0.20065350827182038, 0.81513546753377, 0.03330332229131516, 0.4849930820995032, 0.9120038043460312, 0.8494252421803857, 0.3074471887805156, 0.5232895123004598, 0.5279956268431975, 0.6430090880988046, 0.40964538918021587, 0.8881381611448722, 0.961727121179595, 0.8943648672600147, 0.7373450893927394, 0.700359047836374, 0.11721862933147609, 0.4753338933759156, 0.4135159429368128, 0.1067380947490918, 0.22677025406597118, 0.9849872831045798, 0.6427949155622609, 0.9036702493942707, 0.04958917290548359, 0.6719645182338434, 0.3891087438955283, 0.4945363574171565, 0.30757312879098153, 0.6352071110598168, 0.7930599285442205, 0.9516161227458595, 0.690444865268307, 0.6244843453819708, 0.3104339524390243, 0.11540798819146247, 0.7233615821442441, 0.6246408908841194, 0.43575076821705594, 0.5286782133088567, 0.19264800614916555, 0.17328910372862538, 0.11119258638746043, 0.8931126429822842, 0.47856736452111515, 0.6270026362510378, 0.21555039458213032, 0.6101667353593853, 0.44145106089930464, 0.4351319840827458, 0.017549696527848213, 0.2440361754954813, 0.3644660183454633, 0.2552200701239469, 0.5892705302669046, 0.410057402153456, 0.7244054378045011, 0.8156575471306] bias: 0.0
(2020-01-28 18:38:58.584230) | Neuron 3 in layer: 1 has weights and bias[0.48395444884379535, 0.9057404886123762, 0.9051134235072693, 0.06695712356020889, 0.9390969441268386, 0.9442157575782049, 0.18483442246704074, 0.9485830063341409, 0.18583391794508497, 0.6797095752942135, 0.5696101409414005, 0.7270978155226021, 0.051742578665064376, 0.9335290602234632, 0.1349269771460636, 0.953006032288848, 0.7428698420999432, 0.1927676609294442, 0.4268605915954312, 0.2915649621307942, 0.11791725436907641, 0.7742894369699375, 0.7834454679748479, 0.7476826708654, 0.3164793511246359, 0.013968343627103641, 0.4089944003770155, 0.9555907350269609, 0.6205662996002207, 0.9558188245392467, 0.14936438618517645, 0.4720488449094703, 0.7723738418603601, 0.7074255051323725, 0.4283504625443051, 0.5234604490109398, 0.9834776497197115, 0.60662049198966, 0.8200949728854915, 0.7687019266928663, 0.1207879342564454, 0.9677828862055944, 0.18251846317258258, 0.29063152142864024, 0.20268868500344983, 0.3471656536740825, 0.4141171867883857, 0.5031668101787359, 0.2495387083398506, 0.8764713776670275, 0.3320098113441369, 0.2133575031025311, 0.5420288167502971, 0.16782686341346753, 0.1448442771942472, 0.8271219354158256, 0.57180795472805, 0.7933328434180236, 0.4941394524531061, 0.05668954145148897, 0.21940174016011682, 0.6636051811251262, 0.1930905951339893, 0.442735479200532, 0.08126380560781332, 0.5441640624125708, 0.49674769013663955, 0.493837162948517, 0.8369700444955832, 0.2158628711937648, 0.5501176266680392, 0.7694524224824268, 0.18064098956630414, 0.5663274798250071, 0.5659706466980188, 0.20556841168028672, 0.30066849466975665, 0.6331328200298332, 0.12763470305928915, 0.47091656336386656, 0.7003489893596161, 0.45261223397484696, 0.5165332384102307, 0.8905040758444646, 0.17729770599398786, 0.7697887559378223, 0.7262232206779111, 0.3523173574102244, 0.8901980485927511, 0.5581251398221007, 0.11713269107215374, 0.6354196086845316, 0.739298722417829, 0.277685282187204, 0.25245148068017864, 0.3227817738026405, 0.24252205427328055, 0.26143894043782634, 0.36324522517905034, 0.20447610768312174, 0.31875375367268266, 0.8975817774707686, 0.21402803961114114, 0.5122463788251912, 0.42065693223589373, 0.16276741354046576, 0.5512931941063518, 0.5076416772252585, 0.16120823287693775, 0.11767704577810534, 0.5827107483653559, 0.056717472758649023, 0.13963389627047318, 0.33298468044929475, 0.8856926193560881, 0.4906931499784757, 0.2824557600746256, 0.8509853981697507, 0.5009224343476066, 0.59689050927177, 0.33907216048265665, 0.19291948998065267, 0.13728967687873483, 0.9224873669686647, 0.7638770236344984, 0.32545422667724777, 0.2990747480581779, 0.453920912410018] bias: 0.0
(2020-01-28 18:38:58.600258) | Neuron 4 in layer: 1 has weights and bias[0.3635485523882269, 0.4875038937761379, 0.471015128670887, 0.33823876869722436, 0.7908145709571914, 0.34395090274615836, 0.9954445303021526, 0.5273947654508386, 0.9332776410393374, 0.5372325805692886, 0.3289319400790468, 0.18494975095130195, 0.04399246668147894, 0.2754685232584768, 0.5526171785457543, 0.8902006779879764, 0.6978588307142266, 0.2574849795775054, 0.452067287324992, 0.5503525184774285, 0.3364815932730809, 0.09183365404430666, 0.818719152758442, 0.7176923696970603, 0.21678350816400038, 0.11319634496155206, 0.06139227085790755, 0.04514198190312757, 0.2653760686279576, 0.8090877160176189, 0.09851721404746616, 0.23135444287282247, 0.32392121080588165, 0.946628345168576, 0.02944669043753212, 0.8279007442524763, 0.635641750449577, 0.08670458642554091, 0.9998268863172693, 0.1536019248159236, 0.08165200695501906, 0.9000971741453075, 0.3184774887448535, 0.4892435177855773, 0.22869959857252853, 0.2091406574624377, 0.8636861688627872, 0.6496894704932759, 0.2627500421791481, 0.18581168459100728, 0.01902280820518809, 0.8384279893123874, 0.46580427107307376, 0.4407011316967917, 0.5815707851063643, 0.15123911471336293, 0.19076885711600722, 0.34351361900966393, 0.5514646909866173, 0.01842643338694172, 0.19968570747544956, 0.8142733536134421, 0.7409209135571608, 0.6997545183136182, 0.9615135033572464, 0.2897689260176908, 0.4564613542883591, 0.9056382377134798, 0.7716420826443646, 0.06639004431497875, 0.6991394578983892, 0.16621322971555375, 0.6660288677262702, 0.18399724486511537, 0.36499152677685154, 0.11686699252718713, 0.21051489733812767, 0.17510296548157167, 0.44931497092267214, 0.7492900289337824, 0.2876832242275964, 0.544580922386017, 0.4890967788760182, 0.5236897566475552, 0.1361704033403094, 0.2027399902695326, 0.27099942296217006, 0.14589150953639551, 0.7915643431230407, 0.9133765056725045, 0.6121760196640024, 0.4941842687627589, 0.03691704928975237, 0.3767607081816271, 0.3096976022878921, 0.9423040804190244, 0.736887502164784, 0.16934613414514488, 0.005841384124845139, 0.9396003557065488, 0.10847318816728335, 0.2057149530614476, 0.4681290649159443, 0.06603013334597307, 0.956929211326225, 0.8875950012373632, 0.27508328762518275, 0.9154532160320513, 0.8719825488965298, 0.2675644320157392, 0.3638849922046552, 0.20756266486226482, 0.17965934759107505, 0.9281837184585059, 0.40488816032198083, 0.8991841968858006, 0.9126318543199801, 0.7192749228849551, 0.32656015367344693, 0.6988008172599592, 0.8334825752310339, 0.6418729076771047, 0.8254522438775115, 0.27112097685559444, 0.05684331449762947, 0.48984811077552226, 0.5045274099994439, 0.18036282946189] bias: 0.0
(2020-01-28 18:38:58.601277) | Neuron 5 in layer: 1 has weights and bias[0.7539879527582402, 0.624434273332406, 0.27564821410607265, 0.9336558093215279, 0.5701744683406369, 0.3882211165037588, 0.31508155773224156, 0.34334479400028073, 0.7316714392604058, 0.43814628037976056, 0.03518422890153006, 0.41811243888061056, 0.8341347688544261, 0.035157652822722874, 0.5420394413561702, 0.7408625387109218, 0.2314993363228922, 0.032685224498980814, 0.3083721073221146, 0.5878401168701213, 0.5688962862462267, 0.015999744946611938, 0.43043744011558016, 0.09889847750737446, 0.640692101028592, 0.8443428473597134, 0.1883041907961619, 0.908942151491017, 0.7211667823173934, 0.6126739889854845, 0.5352615848446918, 0.3173001257793867, 0.05448636930317641, 0.29229288094765626, 0.5114218834578723, 0.5499903670723452, 0.40453771299530294, 0.07427436815564781, 0.39318063064014785, 0.17073588205132506, 0.17730559636723253, 0.2945164592012651, 0.4181200912824762, 0.05733754701655147, 0.3773103925584147, 0.29805650467476696, 0.43480403570135184, 0.6370325918555761, 0.5368671545030017, 0.599759636730067, 0.17108748898416448, 0.806076102552401, 0.49520285099134786, 0.9538560999486745, 0.16642399023945442, 0.7981732773840732, 0.868513286276937, 0.6009643469083262, 0.9730596127882741, 0.13097028631314245, 0.18921676583253633, 0.9930306577928119, 0.7930594624311784, 0.49366587251211014, 0.577262267251655, 0.3080632222767411, 0.9606126411389896, 0.9503961514534859, 0.2278501808640615, 0.9550864957206883, 0.9423931390472056, 0.3564104245965275, 0.6247196103651784, 0.3988403642134508, 0.565883156520615, 0.41131378761114257, 0.5954505602435533, 0.8701536654373414, 0.19081122332211575, 0.8010109443616718, 0.19980167446738717, 0.7679250039959484, 0.9104489869255031, 0.1490207940309135, 0.003869326773111026, 0.11856260440878286, 0.8682253343883095, 0.3509375639890594, 0.5159485726082784, 0.21290891580146187, 0.650389915258605, 0.27917683802098137, 0.7571572706299071, 0.7898012158127662, 0.11458117991849048, 0.6636949274130455, 0.2573676519737247, 0.42524128596712296, 0.3882612298483896, 0.8646626012205255, 0.7935548790752927, 0.6980563245447818, 0.28767352871177765, 0.3607584244341788, 0.2780912327858571, 0.7622788957385025, 0.7988872801503393, 0.15961470385743004, 0.3856869717856005, 0.7530886364133982, 0.43047921737332806, 0.8436276337973845, 0.7827700507229622, 0.32518105249526996, 0.79189702905818, 0.10824998004642217, 0.4658757673226399, 0.7478307438999401, 0.04008814619681034, 0.8801033659764922, 0.868123771423323, 0.54940474793143, 0.6852769493131321, 0.6260690156237639, 0.9266426250801862, 0.3802393178080187, 0.8535899532672998, 0.12666233949269] bias: 0.0
(2020-01-28 18:38:58.617514) | Neuron 6 in layer: 1 has weights and bias[0.478450478620319, 0.6695978291848256, 0.7530790961597128, 0.526175024683925, 0.3386871630035412, 0.19199504646479926, 0.6345281302141453, 0.17720277038406163, 0.28062960259692993, 0.7078261116497834, 0.48372749204911314, 0.5710257592064573, 0.2744454763823695, 0.7250099582084749, 0.5812775068085886, 0.03468797245888189, 0.5731514499186009, 0.22582716546063608, 0.03204797530102377, 0.5351428078854847, 0.15751394470339541, 0.2706927792289824, 0.1040776300704973, 0.836028961095858, 0.5461150312237278, 0.933372283798239, 0.8331010034771409, 0.8623408659640421, 0.8814097100892299, 0.20618783520357908, 0.5020594921171749, 0.3426092326979471, 0.8107353371472253, 0.7685534604384374, 0.9655538435480846, 0.7110077955466774, 0.041486412932408734, 0.760401504649132, 0.9596079518843907, 0.5105076611112389, 0.259189357286697, 0.286699129807103, 0.4387953889498094, 0.5346879912288252, 0.16989764070784896, 0.961403188487242, 0.7809912814331051, 0.3695412165170374, 0.6148258742372024, 0.3732565189582404, 0.9495827658605607, 0.8403219644087193, 0.39613774829317905, 0.6410416329207965, 0.36408312999486825, 0.5152064906869925, 0.17409274783213757, 5.512737827040315e-05, 0.6070563136863999, 0.30066266054266977, 0.7215869381539693, 0.25282658765569543, 0.4318185931871349, 0.26022988246120715, 0.5336058413244391, 0.6777789510961375, 0.376992621804358, 0.9097239617194719, 0.5892204077240252, 0.7500883423237548, 0.8439584689337772, 0.5998850851646679, 0.7588471381095838, 0.41640373131400354, 0.11394348407692856, 0.4335450453792511, 0.20489750030014164, 0.5512721563714048, 0.2297408158265215, 0.13612379035381617, 0.27827933997232834, 0.10731739401732077, 0.8888570626023146, 0.1366812608829866, 0.5851352472579657, 0.826393259887984, 0.5799968902005638, 0.4637629512225935, 0.7378931147185837, 0.7803723549122782, 0.8523667655028614, 0.2827968353609255, 0.2020247779751707, 0.4979264791744502, 0.5318984179963542, 0.11900129946521176, 0.52512197726823, 0.9634711568285039, 0.03617226720187516, 0.22696346279507362, 0.3291176885355429, 0.725960779264159, 0.9650749930082456, 0.4595946100881928, 0.12418530879465217, 0.2135129190017907, 0.15032334419360305, 0.9686180553137942, 0.7727176351631951, 0.2810571130483118, 0.052712964448623945, 0.5037663975452772, 0.9387061586024856, 0.2081713027009452, 0.8434438947385443, 0.1288155056040834, 0.33386875110441094, 0.7503845342022231, 0.38605720314742553, 0.3130211860271179, 0.06985121627936586, 0.6064270740736644, 0.6186751074515484, 0.8213345153969396, 0.1817308341909526, 0.48212378330490324, 0.12834839110616092, 0.136961368476033] bias: 0.0
(2020-01-28 18:38:58.617514) | Neuron 7 in layer: 1 has weights and bias[0.4655802887763667, 0.1850513204040949, 0.33205626690030077, 0.20056047866586268, 0.7756512434753322, 0.47637980195238183, 0.5908468548928777, 0.19791534912320907, 0.2107017255481577, 0.2275502623106419, 0.15804246202986882, 0.8927788059957, 0.6601741783540562, 0.95772677511936, 0.6759466081109753, 0.8589967798231525, 0.2531537623270117, 0.47912173724610874, 0.7330351031901011, 0.9658776065070145, 0.8267938219084634, 0.3565054824930445, 0.10391474856037963, 0.6096284358641096, 0.4034556663250971, 0.34955993622208914, 0.4658083807317127, 0.5448214287309064, 0.8448042869228846, 0.8175608320079053, 0.19230449218847656, 0.6224633927269928, 0.14599283778004568, 0.4932914617511388, 0.4112539823417166, 0.8403619502385087, 0.4900877946023048, 0.6161479782640202, 0.8654136803024882, 0.10877689569050286, 0.5053767625723043, 0.9532193984634271, 0.7161646521203628, 0.7646304586914638, 0.8710661468081587, 0.18575841607631383, 0.15157764693374676, 0.7953465587601435, 0.947966241884727, 0.4933143379856988, 0.5535778861010663, 0.7253488146535065, 0.9718366817480814, 0.2175880796906018, 0.9385549348440414, 0.21562949589666514, 0.8856206237034281, 0.2387046366414688, 0.09798370260791256, 0.542133969122929, 0.32228465762743774, 0.48556063530760707, 0.7003758730961118, 0.6422488387911133, 0.5907158167243607, 0.9106824326165774, 0.677085349179895, 0.1855947795239693, 0.005344013518059798, 0.1343351082289017, 0.36200578899953073, 0.4561860619663035, 0.21132642778916744, 0.722952695909502, 0.03533489277556112, 0.39133064904498327, 0.4297903965961064, 0.22376233512428656, 0.8973022023069653, 0.48329727472499884, 0.04158655636381614, 0.24599354583938726, 0.3665414512373898, 0.37228511574055645, 0.2681698034955763, 0.1168182777384904, 0.050698347819193135, 0.9522116096329177, 0.5680101160904881, 0.28087178059530193, 0.5913352358987833, 0.7695017245728357, 0.09165916930772466, 0.4729838652519033, 0.7824272626078023, 0.6909734790457592, 0.8769829199220275, 0.7783441887618553, 0.5677606759288466, 0.3367864860297102, 0.11869090132780657, 0.4367000013131678, 0.45036207372457127, 0.7263145951941683, 0.1847350920340849, 0.4670813060094562, 0.08657066363403465, 0.697745184350579, 0.6364514351093817, 0.7354405605368447, 0.7206849508170448, 0.037693346907401226, 0.6883772723082942, 0.5101272164721474, 0.16360106342392067, 0.5384274587540917, 0.66686969346501, 0.8537020751282713, 0.647374642030389, 0.6420153227853092, 0.6763647652954954, 0.3203079230749004, 0.49814300065026407, 0.9986758111790426, 0.9355699645287686, 0.018426074845716678, 0.30460262199202826, 0.358513087021842] bias: 0.0
(2020-01-28 18:38:58.633444) | Neuron 8 in layer: 1 has weights and bias[0.254871298664923, 0.34060892926843633, 0.475672902106521, 0.16566860210065149, 0.07837200589435478, 0.23819479714508762, 0.5593048403156322, 0.6667802862089764, 0.6029427839396305, 0.6128909715639733, 0.5598303319288238, 0.29551196061469676, 0.7967578950264199, 0.7670966695425319, 0.09696161335679043, 0.04033198041908337, 0.16939312486793834, 0.7587510179944674, 0.7244265953631862, 0.6191250215605363, 0.28626536556660775, 0.7694653577713292, 0.8713252052735303, 0.349906236781232, 0.980373214906318, 0.6878441529067876, 0.403550125297071, 0.17933739415470762, 0.07183837617143551, 0.9626258075773613, 0.2661373486858084, 0.9540179693136884, 0.6742410806740738, 0.5164896785022837, 0.5143540777790688, 0.031594810902890846, 0.6131145428494997, 0.6623355222820658, 0.46806404906485866, 0.3303234207228093, 0.4458089031725134, 0.35194603543895653, 0.5048841102323136, 0.5273321739941781, 0.0774676847950414, 0.20851850481460055, 0.8083445674333927, 0.05183861562535752, 0.1908846955508542, 0.00924886491358945, 0.2331744356297315, 0.7261394966345437, 0.7025145792838264, 0.8592471647886962, 0.5080993988858795, 0.04749439875841677, 0.7224182069523198, 0.3148046008186164, 0.15341123268098433, 0.45600914338384324, 0.8098120932568996, 0.3736671488037616, 0.5065194459965401, 0.36903307709836175, 0.5022911078075988, 0.4273702749532421, 0.020844003617617846, 0.033787200398059714, 0.47934457287648613, 0.9634524791013156, 0.47406023415941867, 0.7034054572490083, 0.891323670636695, 0.2505967634020184, 0.8134146728578712, 0.35973667676395404, 0.9788347368919564, 0.47282224903227643, 0.82370578105075, 0.037071382545761145, 0.2045592682755255, 0.3659993863745773, 0.4780245080869643, 0.06466041154825053, 0.0013284109957995005, 0.4011266707716641, 0.615742495935031, 0.6712652633876592, 0.002984803259445279, 0.07316765159559502, 0.23220935830214928, 0.4686161576555542, 0.18649970957865525, 0.507267249249818, 0.28501160611120835, 0.26091230970914103, 0.13065683223583024, 0.4242563850974208, 0.4489846940303611, 0.010018531216755555, 0.10448959961305937, 0.7099840510904151, 0.5381721188052203, 0.0022691273855672822, 0.1448822496764961, 0.9816459438583658, 0.7723989430746829, 0.7320510226659838, 0.7471569055004783, 0.6311009714665892, 0.7571748955231251, 0.29206691401814355, 0.7384655980078312, 0.9065937739942551, 0.5954336656447217, 0.4231393545270724, 0.22815963028325537, 0.10924579835389092, 0.9231695529008007, 0.5008976017914558, 0.27969642165900466, 0.46343377984189504, 0.1568809499049364, 0.8199224331848668, 0.9260739326644369, 0.32401103276596166, 0.9485157226384798, 0.52540963647035] bias: 0.0
(2020-01-28 18:38:58.634451) | Neuron 9 in layer: 1 has weights and bias[0.9053318545974155, 0.20715182179590053, 0.7085210503550475, 0.7393762586795898, 0.6143258812506184, 0.7339699627062998, 0.8900002272925985, 0.6469383296940628, 0.21356409257173203, 0.0061214674468896835, 0.5516502520766705, 0.21154139034305797, 0.6875335438646389, 0.6428236982894369, 0.5714801221145234, 0.6916060696879053, 0.43914896326333785, 0.9585537613679498, 0.4319446409700127, 0.29802397422430915, 0.15359938995437417, 0.5115193490357814, 0.3086522387966608, 0.8806781441140157, 0.9853416726270791, 0.9729815269404856, 0.10350358768464585, 0.7793096530376711, 0.3275512517739676, 0.027924659881737646, 0.3488988260509114, 0.21402163350037273, 0.8194173185186967, 0.6914237171116622, 0.28400914572659164, 0.7826240057507196, 0.23283590089749095, 0.7397015751816883, 0.5349725569323872, 0.07785330267539459, 0.26878635209989254, 0.880304877690479, 0.64854550473302, 0.47924840698823046, 0.7705459555934188, 0.6796745558646253, 0.8018357511792041, 0.34793278648006065, 0.10646791150558932, 0.04193960873720792, 0.5582863985970992, 0.7355161482703316, 0.80562420725691, 0.43323560835165276, 0.3277379932818525, 0.026332137818923296, 0.06506070898061755, 0.09604736328526464, 0.6091771163644303, 0.46815697653413046, 0.7156821220346199, 0.012021524400915418, 0.6215023965744747, 0.9712521376313188, 0.28251278667940516, 0.24494644456826298, 0.8804026146331232, 0.3703347872869227, 0.6511531403817994, 0.005286027712955388, 0.4424572760435187, 0.9850973763362513, 0.36515606617271723, 0.09096690119355944, 0.1460419575392773, 0.6787357629457893, 0.5151909375000862, 0.29977006815264773, 0.5473289594025255, 0.4362677327587049, 0.3446297288024174, 0.8986467072162512, 0.9599879434820786, 0.3251020945719515, 0.23339751292797606, 0.4644638048517282, 0.7163341275382024, 0.7228950458013081, 0.7778342746344543, 0.09032918918533583, 0.6558616533627906, 0.15277218076455923, 0.9947677977963266, 0.03118738063492299, 0.5631570135939151, 0.17567711979715217, 0.059968466656308506, 0.46180362340686665, 0.3858059608353276, 0.33608442953847406, 0.6800807959306028, 0.0883284974749804, 0.23909226718125498, 0.29068276545456295, 0.8924835068702247, 0.9946732889577887, 0.9135712515591093, 0.5108479291338907, 0.575204561329998, 0.3354805029771656, 0.48957003652215836, 0.28700481847522796, 0.5974362764735621, 0.9363666291893857, 0.7605250643532976, 0.6325654138452481, 0.8503505919841083, 0.42760320577476274, 0.8374396589232026, 0.8078943623785052, 0.20668811315291968, 0.47120176576771977, 0.3462562313367633, 0.04435933442384732, 0.41849496539554987, 0.9741120075005867, 0.8160894955158408, 0.7814164944631] bias: 0.0
(2020-01-28 18:38:58.651876) | Neuron 10 in layer: 1 has weights and bias[0.9377281425461139, 0.02004385425387678, 0.22802792078637457, 0.5068360759717195, 0.5887879713023761, 0.9831389194667016, 0.9606460679855542, 0.38410479083748617, 0.316388663610928, 0.46389696006959313, 0.9429309422745961, 0.7616491086514364, 0.6939816572354496, 0.4045108538077503, 0.7185559128281898, 0.33626658143280175, 0.5778486534523947, 0.7659844483088162, 0.5746148752296617, 0.7400211634292587, 0.6686627225004269, 0.9057119854749037, 0.6082543421519622, 0.5635841166426422, 0.587487978793921, 0.5689724768820011, 0.7887688185268846, 0.4392817460467079, 0.01945573573387127, 0.7586410022196941, 0.94691979199263, 0.7379271168541416, 0.6841230790276525, 0.47039319703920324, 0.33844754007103994, 0.14710444710233428, 0.036004347234008804, 0.06660069345224673, 0.5847959581495613, 0.7308549817868106, 0.5364132214234998, 0.05615789983573116, 0.39709262606154516, 0.10456927631708268, 0.3835567035399676, 0.21880673931324868, 0.44277640909532723, 0.17863268492884887, 0.65552585648215, 0.21010538971332426, 0.03233894165071782, 0.2530460771224582, 0.18671211608923133, 0.9539644598322673, 0.7037365806649001, 0.29026321298107693, 0.44985460070728944, 0.31628542702511286, 0.8255182107140269, 0.2647515851909542, 0.14876670503993372, 0.23930837926840653, 0.09016005594100573, 0.2827897312478961, 0.3920871876118396, 0.24660173945385144, 0.17451704614105457, 0.09529142148259306, 0.23906345294114595, 0.15685180590441672, 0.2551428158749738, 0.3739064197336174, 0.5998400427993363, 0.3498641225906315, 0.4723691952744924, 0.27326598265225976, 0.7697937442180209, 0.592570860254192, 0.5891093586913472, 0.4603214845418191, 0.9470813758013914, 0.6911302812707573, 0.8444692873328202, 0.6272322402370979, 0.715677988256991, 0.651176153930915, 0.31457751582943727, 0.7157020455753392, 0.30933987566492094, 0.18639110269247472, 0.5224792462533134, 0.49218221769793924, 0.9227468986550325, 0.9586115903866994, 0.9905639742248661, 0.34455862561435413, 0.1292036106082528, 0.032426973459778186, 0.8169319794760779, 0.10178402895708327, 0.8929818860030331, 0.38727351252660647, 0.0733135059899499, 0.4407705995289377, 0.4656440765543415, 0.8016972104289487, 0.41724715391374345, 0.06668792490050501, 0.36259444758268755, 0.6396844073212078, 0.2866514668213346, 0.033328386045937464, 0.6839596889242844, 0.475957291265086, 0.6042786233025619, 0.8213264394744998, 0.9103050162762252, 0.6807823664418772, 0.17661073332278054, 0.8687806932622437, 0.6018243157198734, 0.8572470610694505, 0.06958557274770094, 0.42616468955641307, 0.9530275736007682, 0.22193336338862402, 0.4944327424973295, 0.041632930244819] bias: 0.0
